donor,recipient,donor_layer,donor_head,donor_score,recipient_layer,recipient_head,recipient_score,recipient_baseline_accuracy,zero_head_accuracy,unaligned_transplant_accuracy
"EleutherAI/pythia-160m","EleutherAI/pythia-160m-seed1",8,2,0.4978070327392966,6,2,0.6919664632087716,0.091796875,0.0634765625,0.0654296875
"EleutherAI/pythia-160m","EleutherAI/pythia-160m-seed2",8,2,0.4978070327392966,4,11,0.5518038843897557,0.130859375,0.0703125,0.076171875
"EleutherAI/pythia-160m-seed1","EleutherAI/pythia-160m-seed2",6,2,0.6919664632087716,4,11,0.5518038843897557,0.130859375,0.0703125,0.0556640625
"EleutherAI/pythia-160m","EleutherAI/pythia-160m-seed3",8,2,0.4978070327392966,7,2,0.5376091073879241,0.142578125,0.080078125,0.080078125
"EleutherAI/pythia-160m-seed1","EleutherAI/pythia-160m-seed3",6,2,0.6919664632087716,7,2,0.5376091073879241,0.142578125,0.080078125,0.076171875
"EleutherAI/pythia-160m-seed2","EleutherAI/pythia-160m-seed3",4,11,0.5518038843897557,7,2,0.5376091073879241,0.142578125,0.080078125,0.0654296875
"EleutherAI/pythia-160m","EleutherAI/pythia-160m-seed4",8,2,0.4978070327392966,3,4,0.5899322779820295,0.107421875,0.0478515625,0.052734375
"EleutherAI/pythia-160m-seed1","EleutherAI/pythia-160m-seed4",6,2,0.6919664632087716,3,4,0.5899322779820295,0.107421875,0.0478515625,0.04296875
"EleutherAI/pythia-160m-seed2","EleutherAI/pythia-160m-seed4",4,11,0.5518038843897557,3,4,0.5899322779820295,0.107421875,0.0478515625,0.0390625
"EleutherAI/pythia-160m-seed3","EleutherAI/pythia-160m-seed4",7,2,0.5376091073879241,3,4,0.5899322779820295,0.107421875,0.0478515625,0.0517578125
"EleutherAI/pythia-160m","EleutherAI/pythia-160m-seed5",8,2,0.4978070327392966,7,1,0.6407259109079178,0.06640625,0.013671875,0.013671875
"EleutherAI/pythia-160m-seed1","EleutherAI/pythia-160m-seed5",6,2,0.6919664632087716,7,1,0.6407259109079178,0.06640625,0.013671875,0.009765625
"EleutherAI/pythia-160m-seed2","EleutherAI/pythia-160m-seed5",4,11,0.5518038843897557,7,1,0.6407259109079178,0.06640625,0.013671875,0.0087890625
"EleutherAI/pythia-160m-seed3","EleutherAI/pythia-160m-seed5",7,2,0.5376091073879241,7,1,0.6407259109079178,0.06640625,0.013671875,0.0126953125
"EleutherAI/pythia-160m-seed4","EleutherAI/pythia-160m-seed5",3,4,0.5899322779820295,7,1,0.6407259109079178,0.06640625,0.013671875,0.0087890625
