"fork_point","pair_idx","branch_a_baseline_accuracy","branch_b_baseline_accuracy","unaligned_transplant_accuracy","procrustes_transplant_accuracy"
0,0,0.9633789062500001,0.9635416666666667,0.23085937499999998,0.23225911458333331
0,1,0.9588216145833334,0.9630533854166666,0.7999674479166666,0.79541015625
0,2,0.9602864583333335,0.9637044270833333,0.02298177083333333,0.012369791666666666
500,0,0.9641927083333334,0.95849609375,0.05777994791666666,0.05126953125
500,1,0.9599609375,0.9602864583333335,0.9619140625000001,0.9599609375
500,2,0.9641927083333335,0.96435546875,0.9625651041666667,0.9604492187500001
2000,0,0.9586588541666667,0.9591471354166666,0.09456380208333333,0.09423828125
2000,1,0.9609375,0.9580078125,0.09293619791666666,0.09293619791666666
2000,2,0.9607747395833334,0.9622395833333333,0.0966796875,0.09358723958333333
5000,0,0.9611002604166667,0.9578450520833334,0.08479817708333333,0.08479817708333333
5000,1,0.9571940104166667,0.95703125,0.08723958333333331,0.08675130208333333
5000,2,0.9611002604166667,0.9612630208333334,0.09215494791666667,0.09085286458333333
10000,0,0.9583333333333334,0.9591471354166667,0.08056640625,0.07991536458333333
10000,1,0.95703125,0.9596354166666667,0.07779947916666666,0.07779947916666666
10000,2,0.9576822916666667,0.958984375,0.0771484375,0.07682291666666666
15000,0,0.9611002604166666,0.95947265625,0.07893880208333334,0.07893880208333333
15000,1,0.9606119791666667,0.9609375,0.0771484375,0.07698567708333333
15000,2,0.9586588541666667,0.9607747395833335,0.080078125,0.080078125
18000,0,0.9619140625,0.9637044270833335,0.05859375,0.05859375
18000,1,0.9627278645833334,0.96337890625,0.05794270833333333,0.057779947916666664
18000,2,0.9620768229166667,0.9633789062500001,0.05761718749999999,0.05810546874999999
19500,0,0.9625651041666667,0.9625651041666667,0.07014973958333333,0.07014973958333333
19500,1,0.96240234375,0.9625651041666667,0.06982421875,0.06982421875
19500,2,0.9625651041666667,0.9622395833333335,0.07014973958333333,0.07014973958333333
20000,0,0.9612630208333333,0.9612630208333333,0.07291666666666666,0.07291666666666666
20000,1,0.9612630208333333,0.9612630208333333,0.07291666666666666,0.07291666666666666
20000,2,0.9612630208333333,0.9612630208333333,0.07291666666666666,0.07291666666666666
